team1,seed1,team2,seed2,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff,region1,region2
Liberty,12,New Mexico,10,-4.6000000000000085,-7.899999999999999,-6.5,3.1999999999999993,-7.04,-10.290000000000001,3.67,-1.25,6.200000000000003,east,south
Liberty,12,Bryant,15,-5.800000000000011,-11.000000000000007,-10,5.18,6.34,-2.71,12.8,8.379999999999995,-7.239999999999995,east,south
Liberty,12,Norfolk State,16,-0.7000000000000028,-6.100000000000001,-2.299999999999997,5.390000000000001,6.23,3.0700000000000003,8.91,7.1200000000000045,-10.950000000000003,east,west
Liberty,12,Oklahoma,9,-2.200000000000003,-11.899999999999999,-2.4000000000000057,9.68,-12.69,-9.34,2.2700000000000005,-8.629999999999995,0.3299999999999983,east,west
Liberty,12,Colorado State,12,1.3999999999999915,-4.199999999999996,-0.7000000000000028,5.529999999999999,-6.819999999999999,-4.68,-0.6699999999999999,-5.239999999999995,2.1099999999999994,east,west
Liberty,12,Grand Canyon,13,-2.6000000000000085,-6.199999999999996,-3.799999999999997,3.6500000000000004,1.82,-3.9899999999999993,6.58,4.430000000000007,-1.0799999999999983,east,west
Liberty,12,Drake,11,6.5,4.5,-2.4000000000000057,2.01,-1.33,6.09,-6.77,-2.200000000000003,0.4000000000000057,east,west
Liberty,12,UNC Wilmington,14,-2.8000000000000114,-7.000000000000007,-0.5999999999999943,4.209999999999999,3.2200000000000006,0.10000000000000009,5.93,1.0799999999999983,-8.079999999999998,east,west
Liberty,12,Arkansas,10,0,-8.300000000000004,-6.200000000000003,8.23,-12.47,-7.0200000000000005,-1.2799999999999994,-2.6899999999999977,7.340000000000003,east,west
Liberty,12,Omaha,15,-1.5,-12.100000000000001,-2,10.65,1.6300000000000001,-0.7499999999999998,10.22,3.1899999999999977,-11.200000000000003,east,west
Akron,13,Duke,1,1.8999999999999915,12.600000000000001,-0.19999999999998863,-10.729999999999999,-13.91,-5.549999999999999,-21.099999999999998,-18.5,20.89,east,east
Akron,13,Mississippi State,8,4.799999999999997,0.29999999999999716,-1.7999999999999972,4.45,-16.31,-3.01,-10.85,-8.960000000000008,10.980000000000004,east,east
Akron,13,Oregon,5,8.399999999999991,3.5999999999999943,-1.3999999999999915,4.790000000000001,-16.54,-0.5099999999999998,-13.239999999999998,-6.519999999999996,13.240000000000009,east,east
Akron,13,Arizona,4,2.8999999999999915,2.0999999999999943,-6.3999999999999915,0.77000000000000135,-18.2,-7.639999999999999,-11.79,-12.790000000000006,14.939999999999998,east,east
Akron,13,BYU,6,3.5999999999999943,3.5999999999999943,-3,-0.02999999999999936,-14.04,-5.08,-10.99,-12.689999999999998,10.530000000000001,east,east
Akron,13,Wisconsin,3,4.8999999999999915,4.099999999999994,0.9000000000000057,0.77000000000000135,-16.01,-3.5999999999999996,-13.64,-11.489999999999995,13.240000000000009,east,east
Akron,13,Saint Mary's,7,11.099999999999994,13.799999999999997,3.1000000000000085,-2.789999999999999,-10.14,7.03,-21.11,-5.469999999999999,16.560000000000002,east,east
Akron,13,Alabama,2,-6.5,-6.900000000000006,-7,0.3600000000000012,-20.71,-16.240000000000002,-6.11,-16.210000000000008,14.39,east,east
Akron,13,Houston,1,10.399999999999991,16,2.8000000000000114,-5.68,-17.07,1.04,-25.79,-13.769999999999996,24.25,east,midwest
Akron,13,Gonzaga,8,-2,4.900000000000006,-2.8999999999999915,-6.9399999999999995,-10.99,-8.770000000000001,-11.16,-13.269999999999996,14.700000000000003,east,midwest
Akron,13,Clemson,5,8.299999999999997,8.799999999999997,-0.8999999999999915,-0.6099999999999994,-12.2,1.4300000000000006,-16.24,-8.86,13.719999999999999,east,midwest
Akron,13,Purdue,4,6.699999999999989,3.4000000000000057,-1.3999999999999915,3.2700000000000005,-18.27,-2.2200000000000006,-14.780000000000001,-14.659999999999997,9.969999999999999,east,midwest
