"","seed1","team1","seed2","team2","score1","score2","winner","region","year"
"290",2,"Baylor",15,"Grambling",96,46,"Baylor","region3",2018
"291",1,"Louisville",8,"Marquette",90,72,"Louisville","region3",2018
"292",12,"Florida Gulf Coast",4,"Stanford",70,90,"Stanford","region3",2018
"293",6,"Oregon State",3,"Tennessee",66,59,"Oregon State","region3",2018
"294",7,"Michigan",2,"Baylor",58,80,"Baylor","region3",2018
"295",1,"Louisville",4,"Stanford",86,59,"Louisville","region3",2018
"296",6,"Oregon State",2,"Baylor",72,67,"Oregon State","region3",2018
"297",1,"Louisville",6,"Oregon State",76,43,"Louisville","region3",2018
"298",1,"Notre Dame",16,"Cal State Northridge",99,81,"Notre Dame","region4",2018
"299",8,"South Dakota State",9,"Villanova",74,81,"Villanova","region4",2018
"300",5,"DePaul",12,"Oklahoma",90,79,"DePaul","region4",2018
"301",4,"Texas A&M",13,"Drake",89,76,"Texas A&M","region4",2018
"302",6,"LSU",11,"Central Michigan",69,78,"Central Michigan","region4",2018
"303",3,"Ohio State",14,"George Washington",87,45,"Ohio State","region4",2018
"304",7,"Green Bay",10,"Minnesota",77,89,"Minnesota","region4",2018
"305",2,"Oregon",15,"Seattle",88,45,"Oregon","region4",2018
"306",1,"Notre Dame",9,"Villanova",98,72,"Notre Dame","region4",2018
"307",5,"DePaul",4,"Texas A&M",79,80,"Texas A&M","region4",2018
"308",11,"Central Michigan",3,"Ohio State",95,78,"Central Michigan","region4",2018
"309",10,"Minnesota",2,"Oregon",73,101,"Oregon","region4",2018
"310",1,"Notre Dame",4,"Texas A&M",90,84,"Notre Dame","region4",2018
"311",11,"Central Michigan",2,"Oregon",69,83,"Oregon","region4",2018
"312",1,"Notre Dame",2,"Oregon",84,74,"Notre Dame","region4",2018
"313",1,"UConn",1,"Notre Dame",89,91,"Notre Dame","final four",2018
"314",1,"Mississippi State",1,"Louisville",73,63,"Mississippi State","final four",2018
"315",1,"Notre Dame",1,"Mississippi State",61,58,"Notre Dame","championship",2018
