"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"874","Illinois-Chicago","MVC",18,16,69.2,66.2,70,2.94,-3.36,-0.04,-0.38,89.13,90.01,2022
"875","Northwestern","Big Ten",9,21,66.1,80.3,72.1,-14.17,13.61,5.01,-5.57,96.46,97.25,2022
"876","College of Charleston","CAA",22,10,75.3,62.8,73.7,12.53,-8.7,4.58,-5.21,92.65,94.17,2022
"877","North Carolina A&T","CAA",22,12,64.2,56.8,74.8,7.38,-4.64,-4.37,3.42,86.92,87.94,2022
"878","Pennsylvania","Ivy",15,13,65.6,63.4,68.3,2.14,0.63,0.19,-1.14,92.14,93.91,2022
"879","Monmouth","CAA",22,10,64.1,58.3,72.2,5.81,-6.08,-3.16,1.79,88.35,90.28,2022
"880","Western Kentucky","CUSA",15,17,64.4,63.5,72.8,0.88,-0.4,-1.29,-0.08,88.7,90.79,2022
"881","Brown","Ivy",16,11,63.1,61.8,71,1.33,-0.68,-1.36,-0.05,88.93,91.51,2022
"882","Loyola (IL)","A-10",15,16,62.8,63.3,67,-0.48,-1.17,-4.07,2.43,90.14,91.82,2022
"883","Central Arkansas","A-Sun",21,12,65.7,59,64.1,6.67,-5.8,-3.39,1.56,89.35,91.78,2022
"884","Louisiana","Sun Belt",17,14,58.4,59,64.6,-0.65,0.27,-9.98,7.9,85.23,88.07,2022
"885","Louisiana Tech","CUSA",14,19,62.4,62.6,66.9,-0.24,1.13,-4.62,2.52,89.01,91.42,2022
"886","Texas A&M-Corpus Christi","Southland",23,9,66.8,57.9,65.2,8.91,-6.63,-2.48,0.14,86.54,89.73,2022
"887","Cal Poly","Big West",17,14,60.6,60.8,72.7,-0.19,-2.19,-4.51,2.13,86.5,89.99,2022
"888","Arkansas State","Sun Belt",13,17,66.3,63.9,71.3,2.47,-2.25,-1.4,-1.06,94.1,97.89,2022
"889","Drexel","CAA",19,15,57.2,55.9,65.4,1.32,-3.1,-9.48,7.01,88.04,91.58,2022
"890","Appalachian State","Sun Belt",17,15,72.2,73.4,74.7,-1.25,-1.48,4.28,-7.02,90.12,93.54,2022
