seed1,team1,seed2,team2,score1,score2,winner,region,year,team1_win,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff
6,UCLA,3,Maryland,85,80,UCLA,region1,2019,1,-1.2999999999999972,7.599999999999994,-1.5,-8.879999999999999,8.35,1.33,-1.8500000000000005,1.25,2.3900000000000006
10,Buffalo,2,UConn,72,84,UConn,region1,2019,0,-6.700000000000003,10.600000000000001,2.4000000000000057,-17.3,-5.68,-9.85,-13.13,-17.33,14.380000000000003
1,Louisville,4,Oregon State,61,44,Louisville,region1,2019,1,2.8000000000000114,-1.7000000000000028,2.799999999999997,4.51,0.34999999999999964,3.3199999999999985,1.5299999999999994,2.4099999999999966,-4.810000000000002
6,UCLA,2,UConn,61,69,UConn,region1,2019,0,-9.099999999999994,12.199999999999996,-1,-21.240000000000002,5.68,-7.040000000000001,-8.52,-10.980000000000004,10.430000000000007
1,Louisville,2,UConn,73,80,UConn,region1,2019,0,-4.8999999999999915,2.8999999999999986,-1,-7.850000000000001,2.26,-4.240000000000002,-1.3600000000000012,-4.030000000000001,3.0600000000000023
1,Notre Dame,16,Bethune-Cookman,92,50,Notre Dame,region2,2019,1,26.099999999999994,3.700000000000003,8,22.36,28.82,37.96,14.520000000000001,51.57,-16.369999999999997
8,Central Michigan,9,Michigan State,87,88,Michigan State,region2,2019,0,5.400000000000006,-2.299999999999997,-1.6000000000000085,7.73,-6.13,2.9799999999999986,-1.38,5.63000000000001,4.289999999999999
5,Marquette,12,Rice,58,54,Marquette,region2,2019,1,16.099999999999994,9,10.5,7.109999999999999,13.49,22.77,-2.17,16.17,-6.980000000000004
4,Texas A&M,13,Wright State,84,61,Texas A&M,region2,2019,1,-0.5,-1.8000000000000043,-0.5,1.3200000000000003,12.870000000000001,3.0599999999999996,11.79,10.590000000000003,-11.25
6,DePaul,11,Missouri State,78,89,Missouri State,region2,2019,0,8.299999999999997,9.700000000000003,0.20000000000000284,-1.450000000000001,8.86,12.7,-5.29,10.879999999999995,2.6099999999999994
3,Iowa State,14,New Mexico State,97,61,Iowa State,region2,2019,1,6.800000000000011,0,1.6000000000000085,6.83,22.759999999999998,18.52,13.19,30.260000000000005,-12.39
7,BYU,10,Auburn,73,64,BYU,region2,2019,1,-2.3999999999999915,-0.5,-2.299999999999997,-1.9699999999999998,-3.96,-5.04,-0.54,-2.8700000000000045,5.3699999999999974
2,Stanford,15,UC-Davis,79,54,Stanford,region2,2019,1,2.8999999999999915,3.8999999999999986,2.5999999999999943,-1.0300000000000011,17.580000000000002,9.89,7.82,13.419999999999987,-11.200000000000003
1,Notre Dame,9,Michigan State,91,63,Notre Dame,region2,2019,1,13.5,-3.6999999999999886,2.799999999999997,17.16,5.510000000000002,15.38,7.280000000000001,16.950000000000003,-12.11
5,Marquette,4,Texas A&M,76,78,Texas A&M,region2,2019,0,12.200000000000003,1.5,3.5,10.7,0.1999999999999993,13.08,-2.1799999999999997,10.739999999999995,-1.5600000000000023
11,Missouri State,3,Iowa State,69,60,Missouri State,region2,2019,1,-6.1000000000000085,-0.7999999999999972,-1.5,-5.26,-10.969999999999999,-10.29,-5.95,-14.420000000000002,7.510000000000005
7,BYU,2,Stanford,63,72,Stanford,region2,2019,0,-4.8999999999999915,2.200000000000003,-3.5,-7.13,-12.02,-10.75,-8.41,-12.569999999999993,13.979999999999997
1,Notre Dame,4,Texas A&M,87,80,Notre Dame,region2,2019,1,18.799999999999997,4.500000000000007,6,14.23,5.300000000000001,20.25,-0.72999999999999865,19.799999999999997,-4.009999999999998
11,Missouri State,2,Stanford,46,55,Stanford,region2,2019,0,-1.2999999999999972,2.3000000000000043,2.200000000000003,-3.5599999999999987,-13.61,-6.85,-10.34,-12.789999999999992,11.020000000000003
1,Notre Dame,2,Stanford,84,68,Notre Dame,region2,2019,1,14.5,4.000000000000007,5,10.450000000000001,0.4400000000000013,14.290000000000001,-3.42,13.700000000000003,0.3100000000000023
1,Baylor,16,Abilene Christian,95,38,Baylor,region3,2019,1,8.5,-8.399999999999991,7.6000000000000085,16.97,22.14,19.34,24.619999999999997,30.32,-28.25
