"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"145","Morehead State","OVC",26,9,75.3,63.4,66.2,11.86,-5.52,-3.49,4.01,106.08,104.04,2024
"146","Ohio","MAC",20,13,77.3,70,68.3,7.33,-4.58,1.4,-0.93,107.22,106.35,2024
"147","Louisville","ACC",8,24,72,79.1,70.4,-7.06,7.51,3.02,-2.58,106.25,106.1,2024
"148","Murray State","MVC",12,20,69.8,69.9,65.5,-0.16,1.59,-2.42,2.79,107.03,106.52,2024
"149","Arkansas State","Sun Belt",20,17,78.8,77,70,1.81,-1.53,4,-3.72,110.71,109.71,2024
"150","Furman","Southern",17,16,79.5,75.9,71.2,3.55,-1.93,4.03,-3.83,107.48,107.04,2024
"151","Towson","CAA",20,14,67.5,63.6,63.2,3.88,-2.27,-7.57,7.76,101.34,100.81,2024
"152","Vanderbilt","SEC",9,23,67.9,75.9,67.8,-7.97,8.16,-2.46,2.65,104.49,104.61,2024
"153","Loyola Marymount","WCC",12,19,72.4,71.4,66.4,0.97,0.31,-1.52,1.46,108.17,108.75,2024
"154","Hawaii","Big West",20,14,72.3,68.7,67.4,3.56,-2.57,-2.18,2.11,104.14,104.53,2024
"155","Chattanooga","Southern",21,12,78.2,71.6,68.5,6.64,-3.85,1.73,-1.93,108.17,108.18,2024
"156","Wright State","Horizon",18,14,86.5,81.2,72.6,5.25,-3.62,11.5,-11.73,114.37,115.18,2024
"157","UNC Greensboro","Southern",21,11,75.7,69.8,66.9,5.91,-2.9,-1.57,1.31,106.93,107.16,2024
"158","Colgate","Patriot",25,10,71.4,64.1,66.4,7.31,-5.55,-3.9,3.59,102.85,103.07,2024
"159","Sam Houston","CUSA",21,12,72.2,69.2,69.4,3,-1.72,-1.02,0.65,103.31,103.35,2024
"160","Fordham","A-10",13,20,70.5,72.4,69.3,-1.94,1.48,-0.91,0.46,100.07,100.92,2024
"161","Weber State","Big Sky",20,12,75.4,67.5,66.8,7.91,-4.15,-1.24,0.75,107.25,107.93,2024
"162","Louisiana","Sun Belt",19,14,75.9,71.7,70.4,4.21,-2.67,-0.51,-0.09,104.02,104.49,2024
"163","East Carolina","AAC",15,18,69.3,70.3,65.8,-0.97,1.32,-3.46,2.84,104.03,104.88,2024
"164","Purdue Fort Wayne","Horizon",23,13,80.2,71.6,72.3,8.58,-6.09,1.73,-2.47,102.99,104.31,2024
"165","Kent State","MAC",17,17,74.8,71.3,67.7,3.53,-2.54,-0.17,-0.59,105.61,106.29,2024
"166","St. Thomas","Summit",20,13,72.8,64.8,63.9,7.94,-5.72,-5.5,4.58,105.25,105.75,2024
